length,weight,count,looped,neighbors,income,label
24,0.5001220703125,3,0,1,215000000.0,white
10,0.515625,2,0,4,555895547.0,montrealCryptoLocker
8,0.03125,1,0,2,335000000.0,white
2,0.25,1,0,1,6000000000.0,white
54,2.38418579101562e-07,1,0,2,1156000000.0,white
4,0.015625,1,0,2,75000000.0,princetonCerber
0,0.5,1,0,2,2990000000.0,white
0,1.0,1,0,1,15000000000.0,white
0,0.5,1,0,2,412000000.0,white
10,0.015625,1,0,1,50000000.0,paduaCryptoWall
82,0.0692095655587772,25,0,3,175000000.0,montrealCryptoLocker
0,1.0,1,0,1,403107784.0,princetonLocky
16,0.265625,2,0,2,235000000.0,white
2,1.0,1,0,1,210000000.0,paduaCryptoWall
0,1.0,1,0,2,18000000000.0,white
2,0.5,1,0,1,189000000.0,paduaCryptoWall
16,0.16640625,5,0,2,95552891.0,paduaCryptoWall
30,0.75,6,0,2,435000000.0,white
144,3.10365589328535,854,802,10,978596784.0,paduaCryptoWall
4,1.5,6,0,1,224000000.0,paduaCryptoWall
144,2.42227114715734,5193,0,2,400000000.0,princetonLocky
8,0.25,1,0,1,99990000.0,princetonLocky
2,1.0,1,1,2,5000000000.0,white
6,0.0625,1,0,2,3828000000.0,white
14,0.05,1,0,2,923795129.0,montrealCryptoLocker
0,1.0,1,0,2,120323800.0,montrealCryptXXX
144,1.48344675599838,5204,2,3,410000000.0,princetonLocky
144,0.0592235792539796,1566,0,1,190000000.0,paduaCryptoWall
30,0.475830078125,13,0,2,30000000000.0,white
6,0.0625,1,0,1,533000000.0,white
12,0.0078125,1,0,2,1904000000.0,white
10,0.125,1,0,2,4670000000.0,white
6,0.25,1,0,2,4768000000.0,white
6,0.0758928571428571,2,1,1,80000000.0,princetonCerber
144,0.0960094555626502,2854,2636,2,133350000.0,princetonCerber
12,0.203125,3,0,2,947000000.0,white
34,0.015625,1,0,2,152418500.0,princetonCerber
0,0.5,1,0,2,80000000.0,princetonCerber
4,0.25,1,0,2,208000000.0,paduaCryptoWall
42,6.69795953360768e-07,10,0,1,333896467.0,paduaCryptoWall
12,0.2578125,2,0,2,100000000.0,montrealCryptoLocker
144,0.363002148897323,5711,0,1,150000000.0,princetonLocky
0,0.5,1,0,1,64997425.0,princetonLocky
2,0.25,1,0,1,2000000000.0,white
144,14.9575721477444,1282,958,21,1914369777.0,montrealCryptoLocker
40,3.61689814814815e-05,1,0,1,74347232.0,paduaCryptoWall
30,5.78703703703704e-06,1,0,2,208000000.0,paduaCryptoWall
6,0.5,1,0,1,200000000.0,princetonLocky
0,1.0,2,0,2,806637337.0,paduaCryptoWall
0,0.2,1,0,2,50748306.0,montrealCryptoLocker
12,0.0078125,1,0,2,2373000000.0,white
144,0.10550671784159,4713,2563,2,82000000.0,princetonCerber
0,1.0,1,0,1,57000000.0,paduaCryptoWall
2,0.75,2,0,4,429000000.0,montrealCryptoLocker
24,0.0001220703125,1,0,2,128000000.0,white
2,0.5,1,0,2,237000000.0,white
144,0.0036391818187955,3451,0,1,50000000.0,princetonLocky
40,0.00048828125,1,0,2,232000000.0,white
10,0.0555555555555556,1,0,2,80000000.0,princetonCerber
144,1.02441428434162,3019,0,2,506000000.0,paduaCryptoWall
0,0.5,1,0,2,4876000000.0,white
0,1.0,1,0,1,30000000.0,montrealCryptoLocker
10,0.015625,1,0,2,1057000000.0,white
0,1.0,1,0,1,43300000.0,montrealCryptoLocker
2,1.0,1,0,2,8586000000.0,white
4,0.916666666666667,3,0,1,700000000.0,princetonLocky
6,0.5,1,0,2,126000000.0,princetonCerber
26,0.0009765625,1,0,2,3179000000.0,white
22,0.000244140625,1,0,2,113000000.0,white
0,1.0,1,0,1,1070000000.0,montrealCryptoLocker
0,1.0,1,0,1,110000000.0,paduaCryptoWall
0,1.0,1,0,1,50000000.0,princetonLocky
26,0.0009765625,1,0,2,1800000000.0,white
2,0.5,1,0,1,80000000.0,princetonLocky
40,1.43051147460938e-06,6,0,2,4045000000.0,white
144,0.601147362909326,1406,1,3,363960000.0,paduaCryptoWall
0,1.0,1,0,1,55370000.0,paduaCryptoWall
8,0.35,2,0,2,605225108.0,paduaCryptoWall
0,0.5,1,0,2,156000000.0,white
0,1.0,1,0,1,598000000.0,paduaCryptoWall
2,1.0,1,0,2,100000000.0,princetonLocky
92,0.0009765625,1,0,2,120000000.0,montrealCryptXXX
4,0.5,1,0,2,4696000000.0,white
2,1.25,2,0,2,460000000.0,white
4,1.38461538461538,11,11,2,8194000000.0,white
20,0.03125,1,0,2,4082000000.0,white
114,1.0,1,0,2,6816000000.0,white
0,1.0,1,0,2,126000000.0,white
0,0.5,1,0,2,2500000000.0,white
4,0.25,2,0,2,80000000.0,princetonCerber
144,4.62910779366693,1565,6,6,7360859000.0,montrealCryptoLocker
0,0.5,1,0,1,200000000.0,white
112,6.93889390390723e-18,1,0,2,50000000.0,white
18,0.5,1,0,2,4830000000.0,white
14,0.03515625,2,0,4,229000000.0,white
4,1.5,4,0,5,982000000.0,white
2,0.5,1,0,2,4774000000.0,white
10,0.015625,1,0,1,647000000.0,white
0,0.5,1,0,1,6300000000.0,white
6,0.125,1,0,2,4370000000.0,white
2,0.25,1,0,2,200000000.0,white
80,1.0,1,0,2,9736000000.0,white
10,0.5,1,0,2,4906000000.0,white
2,0.5,1,0,1,50000000.0,montrealCryptoLocker
0,0.2,1,0,2,100000000.0,princetonCerber
0,0.5,1,0,1,44639000000.0,white
16,0.00390625,1,0,2,1984000000.0,paduaCryptoWall
2,1.0,1,0,2,4984000000.0,white
82,1.0,1,0,2,1820000000.0,white
10,0.3125,3,0,1,300000000.0,princetonLocky
10,0.4375,4,0,2,73000000.0,white
0,1.0,1,0,1,100687166.0,montrealNoobCrypt
14,0.50390625,2,0,1,5045000000.0,white
4,0.125,1,0,1,101000000.0,white
8,0.125,1,0,2,4671000000.0,white
144,0.176183951354015,6542,7,1,499990000.0,princetonLocky
44,1.00003051757812,3,0,1,10561000000.0,white
42,0.500015258789062,2,0,3,116800707.0,montrealCryptoLocker
12,0.0390625,3,0,2,4000000000.0,white
8,1.0,1,0,2,5061000000.0,white
144,0.553182036607165,2764,0,2,100000000.0,montrealGlobev3
38,6.29425048828125e-05,2,0,2,80000000.0,white
0,1.0,1,0,1,1784620000.0,paduaCryptoWall
26,0.1875,3,0,2,55000000.0,white
6,6.25,8,0,14,65211319942.0,montrealCryptoLocker
144,0.492756434471036,5913,0,1,200000000.0,princetonLocky
26,0.25,1,0,1,4739000000.0,white
6,0.25,1,0,2,4429000000.0,white
2,1.0,1,0,1,10000000000.0,white
0,0.5,1,0,2,80000000.0,princetonCerber
46,0.001953125,1,0,2,330000000.0,white
2,0.5,1,0,2,80830000.0,princetonCerber
6,0.25,1,0,1,100000000.0,white
10,0.0625,1,0,2,3774000000.0,white
22,0.9375,19,0,2,88000000.0,white
2,0.0277777777777778,1,0,2,80000000.0,princetonCerber
0,1.0,1,0,2,900000000.0,paduaCryptoWall
6,0.5,1,0,2,4850000000.0,white
24,0.0859375,6,0,1,150852000000.0,white
90,0.791540827273847,155,0,2,129492649.0,montrealCryptoLocker
4,0.25,1,0,2,100000000.0,princetonCerber
0,0.5,1,0,1,95000000.0,white
0,1.0,2,0,4,60000000.0,princetonCerber
44,1.0,1,0,2,735000000.0,white
6,4.5,10,0,2,4449455500.0,montrealCryptoLocker
20,0.0009765625,1,0,2,2989000000.0,white
142,1.0,1,0,2,2440000000.0,white
54,1.25000075352045,19,0,4,145811822.0,paduaCryptoWall
0,0.5,1,0,2,4813000000.0,white
8,4.8125,12,7,3,300000000.0,white
2,0.0023310023310023,1,0,1,51488668.0,montrealCryptoLocker
12,0.03125,1,0,1,208000000.0,paduaCryptoWall
0,0.5,1,0,2,30190000.0,princetonCerber
38,6.103515625e-05,1,0,2,849000000.0,white
4,1.0,1,0,2,2043000000.0,white
88,1.0,1,0,2,1581000000.0,white
58,7.450580596923831e-09,1,0,2,224000000.0,montrealCryptoLocker
8,0.0729166666666667,5,0,2,242280000.0,princetonCerber
0,1.0,1,0,1,125002000000.0,white
2,1.0,1,0,1,100000000.0,white
22,0.0078125,1,0,2,2459000000.0,white
0,0.5,1,0,2,33000000.0,white
46,1.0,1,0,2,8476000000.0,white
0,1.5,2,0,2,1401380000.0,montrealCryptoLocker
36,0.0078125,1,0,2,31300000.0,montrealCryptoLocker
0,0.5,1,0,2,4312000000.0,white
6,0.25,1,0,2,4663000000.0,white
0,0.5,1,0,1,187100000.0,paduaCryptoWall
18,0.03125,1,0,2,4524000000.0,white
6,0.25,1,0,2,4766000000.0,white
102,0.75,6,0,2,255000000.0,white
2,0.5,1,0,2,4848000000.0,white
120,1.0,1,0,2,7306000000.0,white
10,0.0625,1,0,1,517000000.0,white
144,0.0550946437920745,7408,6230,1,47840000.0,princetonCerber
18,0.0009765625,1,0,1,209000000.0,white
8,0.0185185185185185,1,0,2,80000000.0,princetonCerber
0,1.0,1,0,2,30000000000.0,white
144,0.0007229794935983,4859,0,1,100000000.0,princetonLocky
2,0.25,1,0,2,4600000000.0,white
4,0.0555555555555556,1,0,1,48897500.0,paduaCryptoWall
144,0.0734526321632179,9526,0,1,37500000.0,princetonCerber
2,0.5,1,0,2,125000000.0,princetonCerber
144,0.0092419849517115,5336,0,2,200000000.0,princetonCerber
4,1.02631578947368,2,0,2,59000000.0,montrealCryptoLocker
22,0.00390625,1,0,1,513000000.0,white
20,0.015625,1,0,2,4212000000.0,white
6,0.0502645502645503,2,0,2,100000000.0,montrealCryptoLocker
2,0.75,1,1,3,1999960000.0,paduaCryptoWall
6,1.0,1,0,2,4985000000.0,white
16,0.00390625,1,0,2,120000000.0,montrealCryptXXX
2,0.375,2,0,2,100000000.0,princetonCerber
10,1.0,1,0,2,8566000000.0,white
0,0.5,1,0,1,66634566.0,paduaCryptoWall
2,0.5,1,0,1,50000000.0,white
0,0.5,1,0,2,400000000.0,montrealCryptoLocker
2,0.1,1,0,1,200000000.0,princetonLocky
4,0.0277777777777778,1,0,2,70000000.0,princetonCerber
144,2.75826960078513,4103,4102,7,9280000000.0,montrealCryptoLocker
144,0.0623588532293005,2438,0,1,292000000.0,paduaCryptoWall
8,1.1875,3,2,6,2343000000.0,montrealCryptoLocker
0,1.0,1,0,1,31879699.0,paduaCryptoWall
44,0.125000056514034,2,0,2,600000000.0,paduaCryptoWall
14,0.0022671568627451,4,0,2,100000000.0,princetonCerber
0,1.0,1,0,2,76000000.0,white
144,0.0079860731139453,2612,0,1,30000000.0,montrealWannaCry
2,0.5,1,0,2,4931000000.0,white
2,0.25,1,0,2,916000000.0,white
66,1.52587890625e-05,1,0,2,607000000.0,white
0,0.5,1,0,1,200000000.0,princetonLocky
24,0.0009765625,1,0,2,4043000000.0,white
18,0.0078125,1,0,1,4350000000.0,white
0,1.0,1,0,1,500000000.0,montrealCryptoLocker
4,0.5,1,0,2,36000000.0,white
6,0.25,1,0,2,40000000.0,princetonCerber
144,0.014416720179013,5023,0,1,100000000.0,princetonLocky
4,0.375,2,0,1,300000000.0,princetonLocky
0,1.0,1,0,2,31000000.0,montrealCryptoLocker
142,13.2597787908873,2783,2783,17,35240000000.0,montrealCryptoLocker
0,1.0,1,0,1,50000000000.0,white
6,0.25,1,0,1,100000000.0,paduaCryptoWall
6,0.00390625,1,0,2,80000000.0,princetonCerber
4,0.015625,1,0,2,56000000.0,princetonCerber
2,0.111111111111111,1,0,2,99080989905.0,montrealCryptoLocker
4,0.125,1,0,2,3700000000.0,white
14,0.417594537815126,8,0,4,1893175072.0,paduaCryptoWall
18,0.015625,1,0,2,179100000.0,montrealCryptoLocker
12,0.03125,1,0,2,3135000000.0,white
22,0.001953125,1,0,2,1385000000.0,white
10,0.03125,1,0,2,4397000000.0,white
4,1.0,1,0,2,120000000.0,montrealCryptXXX
34,0.250244140625,2,0,1,1036000000.0,white
0,0.5,1,0,1,500000000.0,white
8,0.03125,1,0,2,3217000000.0,white
26,0.262340198863636,3,0,2,75000000.0,montrealCryptoLocker
4,0.5,1,0,2,4798000000.0,white
132,0.662355349648957,1415,1,2,2199940000.0,paduaCryptoWall
2,2.0,1,1,3,177086145.0,montrealNoobCrypt
4,0.5,1,0,1,50000000.0,montrealCryptoLocker
26,0.0626220703125,2,0,2,87000000.0,white
0,1.0,1,0,2,200000000.0,montrealCryptoLocker
14,0.03125,1,0,2,4416000000.0,white
12,0.2578125,2,0,1,5193000000.0,white
4,0.0833333333333333,1,0,2,80000000.0,princetonCerber
28,0.5,2,0,2,130000000.0,white
6,0.25,1,0,1,4781000000.0,white
38,1.0,1,0,2,1471000000.0,white
24,0.00048828125,1,0,2,1028000000.0,white
0,1.0,1,0,2,100000000.0,montrealCryptoLocker
24,1.81552519036957,67,0,2,54000000.0,white
0,1.0,1,0,1,50000000.0,white
144,0.301159740342705,4589,0,2,333890000.0,princetonCerber
4,0.5,1,0,1,60900000.0,paduaCryptoWall
0,0.5,1,0,1,50000000.0,white
0,0.25,1,0,2,300000000.0,princetonLocky
6,0.25,1,0,1,42500000.0,montrealCryptoLocker
18,0.001953125,1,0,2,3008000000.0,white
14,0.00390625,1,0,1,202000000.0,white
144,0.0485884883699962,2377,0,1,300000000.0,princetonLocky
0,1.0,1,0,2,25000000000.0,white
24,0.0009765625,1,0,2,30000000.0,white
28,0.27520751953125,13,0,1,4743000000.0,white
0,0.5,1,0,2,18000000000.0,white
10,0.125,1,0,1,4663000000.0,white
2,0.5,1,0,1,44195768.0,paduaCryptoWall
0,1.0,1,0,1,85100000.0,paduaCryptoWall
126,1.0,1,0,2,2198000000.0,white
4,0.125,1,0,2,913000000.0,white
2,0.5,1,0,1,50000000.0,princetonLocky
6,0.0138888888888889,1,0,2,75000000.0,princetonCerber
144,0.0173775583496526,1046,0,1,255000000.0,paduaCryptoWall
0,1.0,1,0,2,4997000000.0,white
6,0.25,1,0,2,125000000.0,princetonCerber
0,0.5,1,0,2,3000000000.0,white
6,0.5,1,0,1,50000000.0,paduaCryptoWall
110,1.0,1,0,2,2746000000.0,white
4,1.0,1,1,3,93240000.0,paduaCryptoWall
18,0.001953125,1,0,1,540000000.0,white
86,1.0,1,0,2,1838000000.0,white
2,0.3125,2,0,1,300000000.0,princetonLocky
20,0.00390625,1,0,2,265000000.0,white
8,0.3125,2,0,2,85000000.0,white
0,1.0,1,0,2,100000000.0,montrealCryptoLocker
144,0.0003976473953837,2066,2066,3,150010000.0,paduaCryptoWall
48,1.0031722459612,4,0,1,939954000.0,montrealCryptoLocker
144,0.453129511216829,1183,0,1,208000000.0,paduaCryptoWall
0,1.0,1,0,2,30555000000.0,white
76,1.0,1,0,2,1376000000.0,white
0,1.0,1,0,2,4975000000.0,white
4,0.5,1,0,2,4637000000.0,white
2,0.5,1,0,1,3000000000.0,white
144,0.562061933701733,1932,0,1,250000000.0,paduaCryptoWall
0,1.0,1,0,2,70000000000.0,white
0,1.0,1,0,2,106672217.0,montrealCryptoLocker
14,0.5,2,0,2,221000000.0,white
144,4.11108931176524,1950,1292,5,4200000000.0,paduaCryptoWall
0,1.0,1,0,2,4899000000.0,white
4,0.037037037037037,1,0,2,75000000.0,princetonCerber
0,0.5,1,0,2,50000000.0,white
16,0.0078125,1,0,2,2966000000.0,white
10,0.25,1,0,2,4738000000.0,white
6,0.125,1,0,2,240000000.0,montrealCryptXXX
6,0.125,1,0,2,4459000000.0,white
6,0.0625,1,0,1,1000000000.0,paduaCryptoWall
4,0.0277777777777778,1,0,2,70000000.0,princetonCerber
4,0.125,1,0,2,500000000.0,white
22,0.001953125,1,0,1,68000000.0,white
14,0.0078125,1,0,1,76000000.0,white
22,0.251953125,2,0,2,420000000.0,white
16,0.0625,1,0,2,4688000000.0,white
0,1.5,2,0,2,1083294200.0,montrealCryptoLocker
112,1.14453125,9,0,3,150000000.0,montrealCryptoLocker
144,6.87527709281045e-05,888,0,1,208000000.0,paduaCryptoWall
8,0.0104166666666667,1,0,2,80000000.0,princetonCerber
144,3.66701639448874,2251,2,6,241979680.0,paduaCryptoWall
144,1.28026648787493,1393,1,4,340735076.0,paduaCryptoWall
0,1.0,1,0,1,100000000000.0,white
0,1.0,1,0,2,29050000000.0,white
8,0.0625,3,0,1,100000000.0,princetonLocky
144,3.1476400491251,3857,2716,10,1606730000.0,montrealCryptoLocker
30,0.00048828125,1,0,2,80000000.0,princetonCerber
0,0.5,1,0,2,209020000.0,paduaCryptoWall
6,4.25,6,5,6,2630000000.0,white
0,1.0,1,0,2,40000000.0,princetonCerber
0,0.5,1,0,2,120000000.0,montrealCryptXXX
58,1.0,1,0,2,232000000.0,white
0,1.0,1,0,1,103000000.0,white
72,1.0,1,0,2,6016000000.0,white
12,1.0,8,0,2,46000000.0,white
144,0.0544178658787178,4032,0,2,120000000.0,montrealCryptXXX
12,0.28125,2,0,2,227000000.0,white
10,0.03125,1,0,2,4149000000.0,white
0,0.5,1,0,1,150000000.0,princetonLocky
4,0.5,1,0,1,59000000.0,paduaCryptoWall
28,0.2001953125,2,0,2,187000000.0,paduaCryptoWall
6,0.125,2,0,1,5279000000.0,white
18,0.0078125,1,0,2,4222000000.0,white
2,0.25,1,0,2,35328401.0,paduaCryptoWall
2,0.0208333333333333,1,0,1,300000000.0,princetonLocky
2,0.5,1,0,2,131000000.0,white
38,1.0,1,0,2,30425000000.0,white
52,1.0,1,0,2,31010000000.0,white
144,0.021277554018265,2835,1187,2,125000000.0,princetonCerber
0,1.0,1,0,1,100000000.0,white
0,1.0,1,0,2,215000000.0,paduaCryptoWall
0,2.0,2,0,2,200000000.0,white
8,0.25,1,0,2,4889000000.0,white
4,0.0625,1,0,2,80000000.0,princetonCerber
94,1.0,1,0,2,20485000000.0,white
60,0.0001220703125,1,0,1,136900000.0,paduaCryptoWall
2,1.5,2,1,3,273012000.0,paduaCryptoWall
144,1.45519152283669e-11,1,0,2,52540000.0,princetonCerber
18,0.0009765625,1,0,2,380000000.0,white
0,0.5,1,0,1,26254000000.0,white
4,0.5,1,0,2,4948000000.0,white
18,1.125,4,0,4,486000000.0,white
0,0.5,1,0,1,200000000.0,montrealCryptoLocker
54,0.0078125,1,0,2,150000000.0,white
22,1.95342548076923,37,28,14,1064000000.0,white
0,1.0,1,0,2,386911315.0,montrealCryptoLocker
8,0.03125,1,0,2,7310000000.0,white
0,0.5,1,0,2,127460000.0,princetonCerber
4,0.75,2,0,2,200000000.0,white
0,0.5,1,0,1,20000000000.0,white
14,0.125,1,0,2,36786903.0,montrealCryptoLocker
2,0.5,1,0,2,65360000.0,princetonCerber
0,1.0,1,0,1,250000000.0,princetonLocky
24,0.00048828125,1,0,2,165000000.0,montrealCryptoLocker
0,0.5,1,0,1,2600000000.0,white
0,0.5,1,0,2,200000000.0,white
6,0.5,1,0,2,322000000.0,white
10,0.445833333333333,13,0,2,250000000.0,white
24,2.33723958333333,6,0,4,154126506.0,paduaCryptoWall
6,0.015625,1,0,2,80000000.0,princetonCerber
0,1.0,1,0,1,400000000.0,princetonLocky
0,1.0,1,0,2,4999000000.0,white
2,0.25,1,0,2,125000000.0,princetonCerber
0,1.0,1,0,2,55700000.0,paduaCryptoWall
104,1.0,1,0,2,8666000000.0,white
144,0.278528293240742,4190,0,2,56420000.0,princetonCerber
12,0.0194444444444444,2,2,4,1720153063.0,montrealCryptoLocker
6,0.125,1,0,2,200000000.0,princetonLocky
0,0.5,1,0,2,2153000000.0,white
14,0.0097483474100037,67,0,1,48000000.0,white
0,1.0,1,0,2,120000000.0,montrealCryptXXX
42,2.38418579101562e-07,1,0,2,50000000.0,white
10,0.015625,1,0,2,895000000.0,white
0,0.5,1,0,2,800000000.0,white
2,1.0,1,0,1,999000000.0,white
10,0.104166666666667,4,4,1,222439719.0,paduaCryptoWall
0,1.0,1,0,2,88032562.0,montrealCryptoLocker
60,9.31322574615479e-10,1,0,2,2824000000.0,white
4,0.125,1,0,1,100000000.0,princetonLocky
8,0.125,1,0,1,30000000.0,montrealEDA2
4,1.0,1,0,2,4989000000.0,white
2,0.5625,9,0,2,4893000000.0,white
144,0.20084632996797,1905,0,1,222000000.0,paduaCryptoWall
144,0.0328324583360774,836,0,1,292000000.0,paduaCryptoWall
22,0.015625,1,0,2,4035000000.0,white
144,0.0002039248886041,1709,0,1,292000000.0,paduaCryptoWall
34,7.62939453125e-06,1,0,2,297000000.0,white
0,0.5,1,0,2,3501000000.0,white
2,0.5,2,0,2,307000000.0,white
6,0.5,1,0,2,4862000000.0,white
56,0.0009765625,1,0,2,1613000000.0,white
144,9.38441311099131,1892,1784,4,4200000000.0,paduaCryptoWall
10,0.01875,3,0,1,410000000.0,princetonLocky
90,3.7252902984619103e-09,1,0,2,100000000.0,princetonCerber
28,9.1552734375e-05,3,0,1,190724439.0,paduaCryptoWall
4,0.125,1,0,2,3812000000.0,white
0,1.0,1,0,1,25000000000.0,white
144,0.15274653863318,885,0,1,40902351.0,paduaCryptoWall
16,0.001953125,1,0,2,2818000000.0,white
140,5.60143608453048e-06,2141,0,2,899800000.0,montrealCryptoLocker
8,0.25,1,0,1,225000000.0,paduaCryptoWall
144,0.137350605597246,3140,0,2,364000000.0,paduaCryptoWall
6,0.125,1,0,2,120000000.0,montrealCryptXXX
8,0.125,2,0,2,66310000.0,princetonCerber
80,0.0208245313634225,54,0,1,70000000.0,white
46,0.331473215926031,8,0,2,500000000.0,montrealCryptoLocker
0,0.5,1,0,1,248968000000.0,white
144,0.0277187332110323,5291,0,1,200000000.0,princetonLocky
2,0.25,1,0,2,3580000000.0,white
0,1.0,1,0,1,100000000.0,paduaCryptoWall
144,0.0062062769423586,2652,1422,1,90340000.0,paduaCryptoWall
12,0.03125,1,0,1,3947000000.0,white
64,1.0,1,0,2,29705000000.0,white
4,1.5,2,0,4,140000000.0,princetonCerber
6,1.0,4,0,2,201080000.0,paduaCryptoWall
2,0.5,1,0,2,112000000.0,montrealCryptoLocker
10,0.0625,1,0,1,101000000.0,white
0,1.0,1,0,2,4998000000.0,white
4,1.0,1,0,2,11898000000.0,white
10,0.0625,1,0,2,346847496.0,montrealCryptoLocker
18,0.001953125,1,0,1,36600000000.0,white
38,3.814697265625e-06,1,0,1,50000000.0,white
48,1.0,1,0,2,10566000000.0,white
2,1.0,1,0,2,80000000.0,princetonCerber
16,2.01025390625,8,0,3,2500000000.0,paduaCryptoWall
14,0.0078125,1,0,2,104000000.0,white
10,0.0089285714285714,1,0,2,75000000.0,princetonCerber
10,0.015625,1,0,1,300000000.0,princetonLocky
0,0.5,1,0,2,3000000000.0,white
144,0.533590620039391,1464,1464,3,5003000000.0,paduaCryptoWall
144,0.077104108469631,1410,0,2,116340000.0,princetonCerber
6,0.25,1,0,2,4546000000.0,white
4,0.05,2,0,1,614000000.0,paduaCryptoWall
0,1.0,2,0,4,574131007.0,montrealCryptoLocker
4,0.125,1,0,2,4147000000.0,white
2,1.0,1,0,1,200000000.0,princetonLocky
0,0.5,1,0,2,4889000000.0,white
144,0.0981489740615488,4066,2450,1,410000000.0,princetonLocky
0,1.0,1,0,1,59000000.0,paduaCryptoWall
0,0.5,1,0,1,1000000000.0,paduaCryptoWall
6,0.125,1,1,2,100000000.0,princetonCerber
6,0.125,1,0,2,4003000000.0,white
0,0.5,1,0,2,224933769.0,montrealCryptoLocker
0,0.5,1,0,2,103083001.0,princetonCerber
48,0.03125,1,0,2,120000000.0,montrealCryptXXX
0,0.5,1,0,1,50000000.0,princetonLocky
144,7.40072802963853,957,770,21,2679081704.0,paduaCryptoWall
144,0.008881337221375,6339,0,2,84050000.0,princetonCerber
0,0.5,1,0,2,474000000.0,white
28,0.001953125,1,0,2,635000000.0,white
144,0.142890238777034,1891,0,2,80000000.0,princetonCerber
6,0.25,1,0,2,32380014.0,paduaCryptoWall
144,0.0126915430629949,3054,0,1,125000000.0,princetonCerber
78,0.0081787109375,4,0,2,69000000.0,white
144,0.128379701643963,724,0,2,150000000.0,princetonLocky
2,0.0593512767425811,2,0,2,200000000.0,paduaCryptoWall
22,0.256103515625,8,0,1,4000000000.0,white
2,0.5,1,0,2,3000000000.0,montrealCryptoLocker
12,0.015625,1,0,2,4258000000.0,white
0,0.5,1,0,1,7000000000.0,white
4,0.5,1,0,2,53501222.0,montrealCryptoLocker
0,0.5,1,0,2,2500000000.0,white
6,0.0625,1,0,2,2022000000.0,white
2,0.5,1,0,1,10000000000.0,white
0,1.0,1,0,1,50000000.0,princetonLocky
34,0.00390625,1,0,1,2068000000.0,white
92,0.500000000003638,2,0,4,390990413.0,montrealCryptoLocker
0,4.0,4,0,4,3030167824.0,paduaCryptoWall
32,1.13124588254898,58,0,4,2000000000.0,montrealCryptoLocker
6,0.5,1,0,1,1900000000.0,paduaCryptoWall
18,0.001953125,1,0,2,125000000.0,princetonCerber
144,0.0030625379996961,1666,0,2,284564636.0,montrealCryptoLocker
24,0.0006377551020408,1,0,2,80215972.0,paduaCryptoWall
2,0.25,1,0,2,4775000000.0,white
2,0.0625,1,0,2,100000000.0,princetonCerber
116,1.0,1,0,2,9646000000.0,white
2,0.25,1,0,1,50000000.0,princetonLocky
144,1.81349945815354,1262,1,2,215000000.0,paduaCryptoWall
0,0.5,1,0,2,100000000.0,white
0,0.5,1,0,2,4418000000.0,white
4,0.125,1,0,1,50000000.0,white
8,0.0625,1,0,2,3395000000.0,white
0,1.0,1,0,2,33000000.0,montrealCryptoLocker
